subject_id,device_id,time_s,time,code
User02,22482,3097273,D0036 20:21:13,AHOF
User02,22482,3097383,D0036 20:23:03,AHON
User02,22482,3097390,D0036 20:23:10,AHOF
User02,22482,3097429,D0036 20:23:49,AHON
User02,22482,3097434,D0036 20:23:54,AHOF
User02,22482,3097468,D0036 20:24:28,AHON
User02,22482,3097475,D0036 20:24:35,AHOF
User02,22482,3098195,D0036 20:36:35,AHON
User02,22482,3098200,D0036 20:36:40,AHOF
User02,22482,3308128,D0039 06:55:28,AHON
User02,22482,3308136,D0039 06:55:36,AHOF
User02,22482,3444932,D0040 20:55:32,AHON
User02,22482,3444940,D0040 20:55:40,AHOF
User02,22482,3620186,D0042 21:36:26,AHON
User02,22482,3620194,D0042 21:36:34,AHOF
User02,22482,3620356,D0042 21:39:16,AHON
User02,22482,3620362,D0042 21:39:22,AHOF
User02,22482,3712389,D0043 23:13:09,AHON
User02,22482,3712397,D0043 23:13:17,AHOF
User02,22482,3744546,D0044 08:09:06,AHON
User02,22482,3744554,D0044 08:09:14,AHOF
User02,22482,3790596,D0044 20:56:36,AHON
User02,22482,3790604,D0044 20:56:44,AHOF
User02,22482,3790749,D0044 20:59:09,AHON
User02,22482,3790756,D0044 20:59:16,AHOF
User02,22482,3887873,D0045 23:57:53,AHON
User02,22482,3887881,D0045 23:58:01,AHOF
User02,22482,3953549,D0046 18:12:29,AHON
User02,22482,3953560,D0046 18:12:40,AHOF
User02,22482,3967367,D0046 22:02:47,AHON
User02,22482,3967373,D0046 22:02:53,AHOF
User02,22482,3970607,D0046 22:56:47,AHON
User02,22482,3970613,D0046 22:56:53,AHOF
User02,22482,3973213,D0046 23:40:13,AHON
User02,22482,3973214,D0046 23:40:14,AHOF
User02,22482,3993968,D0047 05:26:08,AHON
User02,22482,3993974,D0047 05:26:14,AHOF
User02,22482,4052559,D0047 21:42:39,AHON
User02,22482,4052567,D0047 21:42:47,AHOF
User02,22482,4142866,D0048 22:47:46,AHON
User02,22482,4142874,D0048 22:47:54,AHOF
User02,22482,4228139,D0049 22:28:59,AHON
User02,22482,4228158,D0049 22:29:18,AHOF
User02,22482,4230041,D0049 23:00:41,AHON
User02,22482,4230049,D0049 23:00:49,AHOF
User02,22482,4285314,D0050 14:21:54,AHON
User02,22482,4285325,D0050 14:22:05,AHOF
User02,22482,4316076,D0050 22:54:36,AHON
User02,22482,4316083,D0050 22:54:43,AHOF
User02,22482,4325768,D0051 01:36:08,AHON
User02,22482,4325775,D0051 01:36:15,AHOF
User02,22482,4325781,D0051 01:36:21,AHON
User02,22482,4325787,D0051 01:36:27,AHOF
User02,22482,4325935,D0051 01:38:55,AHON
User02,22482,4325936,D0051 01:38:56,AHOF
User02,22482,4400540,D0051 22:22:20,AHON
User02,22482,4400554,D0051 22:22:34,AHOF
User02,22482,4483278,D0052 21:21:18,AHON
User02,22482,4483290,D0052 21:21:30,AHOF
User02,22482,4500289,D0053 02:04:49,AHON
User02,22482,4500295,D0053 02:04:55,AHOF
User02,22482,4563099,D0053 19:31:39,AHON
User02,22482,4563110,D0053 19:31:50,AHOF
User02,22482,4607202,D0054 07:46:42,AHON
User02,22482,4607208,D0054 07:46:48,AHOF
User02,22482,4670632,D0055 01:23:52,AHON
User02,22482,4670637,D0055 01:23:57,AHOF
