subject_id,target,budget_nights,first,second,seed,role,n_nights,n_windows,first_mae,second_mae,point_estimate,ci_lower,ci_upper,interval,night_median_delta,proportion_nights_second_better,n_resamples,rng_seed,level
User02,temperature,14,B,D,2,sensitivity,36,95839,1.4857309605818052,1.614830814081496,-0.12909985349969078,-0.15728832583857355,-0.10250806771733732,below_zero,-0.10922005029165494,0.05555555555555555,2000,0,0.95
User02,temperature,14,B,E,0,primary,36,95839,1.4857309605818052,1.5226666791438146,-0.03693571856200939,-0.10106284456763033,0.023471615526397503,includes_zero,-0.08103329874906007,0.4444444444444444,2000,0,0.95
User02,temperature,14,B,E,1,sensitivity,36,95839,1.4857309605818052,1.5410766037352455,-0.05534564315344026,-0.11778067236731682,0.0043338694409224545,includes_zero,-0.06323954940026066,0.4166666666666667,2000,0,0.95
User02,temperature,14,B,E,2,sensitivity,36,95839,1.4857309605818052,1.5874599250980341,-0.10172896451622893,-0.1593037538289713,-0.046305915952163164,below_zero,-0.14170177985785004,0.3333333333333333,2000,0,0.95
User02,temperature,14,B,S,0,primary,36,95839,1.4857309605818052,1.5131779556067946,-0.027446995024989373,-0.0973745370513391,0.03888235693913358,includes_zero,-0.031356743144794474,0.4444444444444444,2000,0,0.95
User02,temperature,14,B,S,1,sensitivity,36,95839,1.4857309605818052,1.6064926536474597,-0.12076169306565454,-0.19618701963278268,-0.05035997834704663,below_zero,-0.11038100068971735,0.3611111111111111,2000,0,0.95
User02,temperature,14,B,S,2,sensitivity,36,95839,1.4857309605818052,1.5783909813152066,-0.0926600207334014,-0.1680419403616012,-0.022713909474821832,below_zero,-0.09196030587702908,0.4166666666666667,2000,0,0.95
User02,temperature,14,D,E,0,primary,36,95839,1.6096348881247209,1.5226666791438146,0.08696820898090629,-0.0009045705498369805,0.1688051112465715,includes_zero,0.07119745767591701,0.5555555555555556,2000,0,0.95
User02,temperature,14,D,E,1,sensitivity,36,95839,1.6053342822140175,1.5410766037352455,0.06425767847877206,-0.023650536123488223,0.14748132863284535,includes_zero,0.04491036509078761,0.5555555555555556,2000,0,0.95
User02,temperature,14,D,E,2,sensitivity,36,95839,1.614830814081496,1.5874599250980341,0.02737088898346185,-0.04011265059384185,0.09256598584705282,includes_zero,0.0215473693214302,0.5,2000,0,0.95
User02,temperature,14,S,E,0,primary,36,95839,1.5131779556067946,1.5226666791438146,-0.009488723537020016,-0.02341407015646567,0.0046500386302604875,includes_zero,-0.007624266786440459,0.4444444444444444,2000,0,0.95
User02,temperature,14,S,E,1,sensitivity,36,95839,1.6064926536474597,1.5410766037352455,0.06541604991221428,0.04208957991748768,0.09055983794301953,above_zero,0.07350811070614527,0.8055555555555556,2000,0,0.95
User02,temperature,14,S,E,2,sensitivity,36,95839,1.5783909813152066,1.5874599250980341,-0.009068943782827521,-0.03434461854975456,0.01857092966794553,includes_zero,-0.0020539994478038226,0.4722222222222222,2000,0,0.95
User02,humidity,1,B,D,0,primary,36,95839,13.71837742204986,15.124024040207493,-1.4056466181576326,-1.6569434486601498,-1.149718316608522,below_zero,-1.486253908249168,0.05555555555555555,2000,0,0.95
User02,humidity,1,B,D,1,sensitivity,36,95839,13.71837742204986,15.063784821935663,-1.3454073998858025,-1.5739121219066508,-1.122147137468199,below_zero,-1.367041689501396,0.027777777777777776,2000,0,0.95
User02,humidity,1,B,D,2,sensitivity,36,95839,13.71837742204986,15.051886460501615,-1.333509038451755,-1.5787976500242469,-1.081476047492402,below_zero,-1.3040991222830742,0.05555555555555555,2000,0,0.95
User02,humidity,1,B,E,0,primary,36,95839,13.71837742204986,17.217987817918424,-3.4996103958685634,-7.502293928808309,0.7796341634136963,includes_zero,-6.944057147278806,0.3888888888888889,2000,0,0.95
User02,humidity,1,B,E,1,sensitivity,36,95839,13.71837742204986,16.873888159285105,-3.155510737235245,-7.117358266837369,1.1132305213901683,includes_zero,-6.9880809926328515,0.3888888888888889,2000,0,0.95
User02,humidity,1,B,E,2,sensitivity,36,95839,13.71837742204986,17.775256198050656,-4.056878776000795,-8.166967576695514,0.345249322400265,includes_zero,-7.412348544219388,0.3888888888888889,2000,0,0.95
User02,humidity,1,D,E,0,primary,36,95839,15.124024040207493,17.217987817918424,-2.093963777710931,-6.0926218589396415,2.2039667359067256,includes_zero,-4.970538134930646,0.4166666666666667,2000,0,0.95
