scope,fold,subject_id,quantity,kind,recomputed,frozen,abs_diff,tolerance_abs,passed,target,seed,budget_nights
rq2,1,User01,adaptation_windows,exact,3050,3050,,0,True,,,3
rq2,1,User01,primary_targets_equal_b0,exact,,,,0,True,,,3
rq2,1,User01,B_adaptation_mean_as_A_plus_offset,float,27.72622950819672,27.72622950819673,1.0658141036401503e-14,1e-09,True,temperature,,3
rq2,1,User01,B_adaptation_mean_as_A_plus_offset,float,69.24459016393443,69.24459016393352,9.094947017729282e-13,1e-09,True,humidity,,3
rq2,1,User01,B_mae,float,2.2685891546214667,2.268589154621473,6.217248937900877e-15,1e-09,True,temperature,,3
rq2,1,User01,B_rmse,float,2.6990649321678806,2.699064932167888,7.549516567451064e-15,1e-09,True,temperature,,3
rq2,1,User01,B_bias,float,2.0337351880486683,2.033735188048679,1.0658141036401503e-14,1e-09,True,temperature,,3
rq2,1,User01,B_fit_windows,exact,3050,3050,,0,True,temperature,,3
rq2,1,User01,B_mae,float,44.155390157916045,44.15539015791513,9.166001291305292e-13,1e-09,True,humidity,,3
rq2,1,User01,B_rmse,float,44.98212322205433,44.98212322205344,8.881784197001252e-13,1e-09,True,humidity,,3
rq2,1,User01,B_bias,float,44.155390157916045,44.15539015791513,9.166001291305292e-13,1e-09,True,humidity,,3
rq2,1,User01,B_fit_windows,exact,3050,3050,,0,True,humidity,,3
rq2,1,User01,E_prediction_keys,exact,ok,ok,,0,True,,0,3
rq2,1,User01,E_y_true,exact,,,,0,True,,0,3
rq2,1,User01,E_prediction_keys,exact,ok,ok,,0,True,,1,3
rq2,1,User01,E_y_true,exact,,,,0,True,,1,3
rq2,1,User01,E_prediction_keys,exact,ok,ok,,0,True,,2,3
rq2,1,User01,E_y_true,exact,,,,0,True,,2,3
rq2,1,User01,adaptation_and_buffer_nights_equal_plan,exact,,,,0,True,,,7
rq2,1,User01,fit_windows:fit_windows_are_labelled_adaptation_windows,exact,ok,ok,,0,True,,,7
rq2,1,User01,fit_windows:fit_windows_in_the_earliest_b_nights,exact,ok,ok,,0,True,,,7
rq2,1,User01,fit_windows:no_fit_window_in_the_buffer_night,exact,ok,ok,,0,True,,,7
rq2,1,User01,fit_windows:no_fit_window_in_a_test_or_primary_night,exact,ok,ok,,0,True,,,7
rq2,1,User01,fit_windows:fit_rows_precede_buffer_and_test_rows,exact,ok,ok,,0,True,,,7
rq2,1,User01,adaptation_windows,exact,7675,7675,,0,True,,,7
rq2,1,User01,primary_targets_equal_b0,exact,,,,0,True,,,7
rq2,1,User01,B_adaptation_mean_as_A_plus_offset,float,27.562214983713353,27.562214983713247,1.0658141036401503e-13,1e-09,True,temperature,,7
rq2,1,User01,B_adaptation_mean_as_A_plus_offset,float,60.61315960912052,60.613159609122974,2.4513724383723456e-12,1e-09,True,humidity,,7
rq2,1,User01,B_mae,float,2.1619043237350684,2.161904323734999,6.927791673660977e-14,1e-09,True,temperature,,7
rq2,1,User01,B_rmse,float,2.5777370022393913,2.577737002239314,7.72715225139109e-14,1e-09,True,temperature,,7
rq2,1,User01,B_bias,float,1.8697206635653008,1.8697206635651946,1.0613732115416497e-13,1e-09,True,temperature,,7
rq2,1,User01,B_fit_windows,exact,7675,7675,,0,True,temperature,,7
rq2,1,User01,B_mae,float,35.52395960310214,35.52395960310459,2.4513724383723456e-12,1e-09,True,humidity,,7
rq2,1,User01,B_rmse,float,36.54647227091997,36.54647227092235,2.3803181647963356e-12,1e-09,True,humidity,,7
rq2,1,User01,B_bias,float,35.52395960310214,35.52395960310459,2.4513724383723456e-12,1e-09,True,humidity,,7
rq2,1,User01,B_fit_windows,exact,7675,7675,,0,True,humidity,,7
rq2,1,User01,E_prediction_keys,exact,ok,ok,,0,True,,0,7
rq2,1,User01,E_y_true,exact,,,,0,True,,0,7
rq2,1,User01,E_prediction_keys,exact,ok,ok,,0,True,,1,7
rq2,1,User01,E_y_true,exact,,,,0,True,,1,7
rq2,1,User01,E_prediction_keys,exact,ok,ok,,0,True,,2,7
rq2,1,User01,E_y_true,exact,,,,0,True,,2,7
rq2,1,User01,adaptation_and_buffer_nights_equal_plan,exact,,,,0,True,,,14
rq2,1,User01,fit_windows:fit_windows_are_labelled_adaptation_windows,exact,ok,ok,,0,True,,,14
rq2,1,User01,fit_windows:fit_windows_in_the_earliest_b_nights,exact,ok,ok,,0,True,,,14
rq2,1,User01,fit_windows:no_fit_window_in_the_buffer_night,exact,ok,ok,,0,True,,,14
rq2,1,User01,fit_windows:no_fit_window_in_a_test_or_primary_night,exact,ok,ok,,0,True,,,14
rq2,1,User01,fit_windows:fit_rows_precede_buffer_and_test_rows,exact,ok,ok,,0,True,,,14
