model,fold,subject_id,stratum_type,stratum,target,metric,value,seed_sd,n_windows,source
RAW,2,User02,channel_quality_phase,p1_transition,humidity,rmse,36.912383863149664,0.49678149475097333,2485,p3_frozen
RAW,2,User02,channel_quality_phase,p1_transition,humidity,bias,-36.00290661497166,0.5052260318737901,2485,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/normal,temperature,mae,5.962002263458426,0.04961006424144373,50346,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/normal,temperature,rmse,6.394679088079678,0.045816227530709686,50346,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/normal,temperature,bias,-5.962002263458426,0.04961006424144373,50346,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/normal,humidity,mae,33.71895324360718,0.562279333760559,50346,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/normal,humidity,rmse,36.751428275597185,0.5348834418559058,50346,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/normal,humidity,bias,-33.684024504210555,0.5666712990630268,50346,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/p1_response_shift,temperature,mae,5.652581907026824,0.08543317453785923,33677,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/p1_response_shift,temperature,rmse,5.830149153874825,0.08469383319797798,33677,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/p1_response_shift,temperature,bias,-5.652581907026824,0.08543317453785923,33677,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/p1_response_shift,humidity,mae,26.399526243018716,0.523176529894342,33677,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/p1_response_shift,humidity,rmse,31.435021881001944,0.5597060427087914,33677,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/p1_response_shift,humidity,bias,-25.215308246784275,0.695823826245284,33677,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/p1_transition,temperature,mae,7.121621056475458,0.06122471130953476,2485,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/p1_transition,temperature,rmse,7.290689256666433,0.059199614831046146,2485,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/p1_transition,temperature,bias,-7.121621056475458,0.06122471130953476,2485,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/p1_transition,humidity,mae,36.00290661497166,0.5052260318737901,2485,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/p1_transition,humidity,rmse,36.912383863149664,0.49678149475097333,2485,p3_frozen
RAW,2,User02,device_x_channel_quality_phase,22482/p1_transition,humidity,bias,-36.00290661497166,0.5052260318737901,2485,p3_frozen
RAW,3,User07,overall,all,temperature,mae,2.0448796874662722,0.19356916088524484,140971,p3_frozen
RAW,3,User07,overall,all,temperature,rmse,2.5326394035573347,0.22686624622743845,140971,p3_frozen
RAW,3,User07,overall,all,temperature,bias,1.4001643610424885,0.3961102017378169,140971,p3_frozen
RAW,3,User07,overall,all,humidity,mae,9.97176817441161,0.2943618296395546,140971,p3_frozen
