subject_id,target,predictor,predictor_name,seed,mae,mae_seed_sd,rmse,bias,err_sd,target_sd,R,n_windows,n_nights
User02,humidity,S,scratch_initialization_control,mean,11.551010716799185,0.2824597887771643,14.248107190197368,4.953391148514217,13.344434061023923,13.7608511676816,0.9697390007650353,95839,36
User07,temperature,C,raw_tcn_base,mean,1.8916833222862142,0.16274091922947834,2.3735085960035067,1.1261350598576405,2.0693312203394583,1.8129135262826535,1.1414395614238613,114838,85
User07,temperature,B,adaptation_target_mean,,2.326238950647099,,2.7704782048660532,-2.0949687419766487,1.8129135262826537,1.8129135262826535,1.0000000000000002,114838,85
User07,temperature,B,adaptation_target_mean,,2.326238950647099,,2.7704782048660532,-2.0949687419766487,1.8129135262826537,1.8129135262826535,1.0000000000000002,114838,85
User07,temperature,E,full_fine_tuning,0,2.3700851062857415,,2.835600859266719,-2.1455506961654613,1.8539807019648453,1.8129135262826535,1.0226525838584255,114838,85
User07,temperature,E,full_fine_tuning,1,2.3555002854855314,,2.8204933836930333,-2.1237288961130054,1.8560599406459946,1.8129135262826535,1.0237994883582848,114838,85
User07,temperature,E,full_fine_tuning,2,2.367409231133333,,2.8348505011832295,-2.1456731483036116,1.85269104405124,1.8129135262826535,1.0219412107593182,114838,85
User07,temperature,E,full_fine_tuning,mean,2.3643315409682018,0.007764237374524842,2.8303149147143274,-2.1383175801940264,1.8542438955540266,1.8129135262826535,1.0227977609920096,114838,85
User07,temperature,S,scratch_initialization_control,0,2.3704269258436153,,2.8364249867171285,-2.1489598856808927,1.8512909320276016,1.8129135262826535,1.021168911362055,114838,85
User07,temperature,S,scratch_initialization_control,1,2.322638114215958,,2.7795400513672712,-2.075218031913511,1.8491384526789187,1.8129135262826535,1.0199816074352668,114838,85
User07,temperature,S,scratch_initialization_control,2,2.390661548108788,,2.858178871310329,-2.1828491831508936,1.845089673707557,1.8129135262826535,1.0177483078803433,114838,85
User07,temperature,S,scratch_initialization_control,mean,2.36124219605612,0.03492944797151852,2.8247146364649094,-2.135675700248432,1.8485063528046926,1.8129135262826535,1.0196329422258883,114838,85
User07,humidity,C,raw_tcn_base,mean,10.247411370441306,0.30463557184588186,12.58725878804916,3.7013212758999514,11.939780626102783,9.736595754255333,1.2262787659521097,114838,85
User07,humidity,B,adaptation_target_mean,,8.28540733079049,,9.744916841618029,0.4026255931603458,9.736595754255333,9.736595754255333,1.0,114838,85
User07,humidity,B,adaptation_target_mean,,8.28540733079049,,9.744916841618029,0.4026255931603458,9.736595754255333,9.736595754255333,1.0,114838,85
User07,humidity,E,full_fine_tuning,0,8.262391425874716,,9.712740241020402,0.53616243774828,9.69793033744236,9.736595754255333,0.9960288567186252,114838,85
User07,humidity,E,full_fine_tuning,1,8.27668847448586,,9.73244732404373,0.8119817552558691,9.698516203235293,9.736595754255333,0.996089028241375,114838,85
User07,humidity,E,full_fine_tuning,2,8.286771727695735,,9.74374599444042,0.6887398587660117,9.719373612076073,9.736595754255333,0.9982311946994684,114838,85
User07,humidity,E,full_fine_tuning,mean,8.27528387601877,0.012250691893166918,9.729644519834851,0.6789613505900536,9.70527338425124,9.736595754255333,0.9967830265531562,114838,85
User07,humidity,S,scratch_initialization_control,0,8.279459974532147,,9.721281571690836,0.49901968892708903,9.708465107634625,9.736595754255333,0.9971108334647236,114838,85
User07,humidity,S,scratch_initialization_control,1,8.264629810205488,,9.702987222273808,0.28795838465451995,9.698713368499758,9.736595754255333,0.9961092781592562,114838,85
User07,humidity,S,scratch_initialization_control,2,8.282389275947079,,9.725272332099552,0.602040453599317,9.706619866139345,9.736595754255333,0.996921317381089,114838,85
User07,humidity,S,scratch_initialization_control,mean,8.275493020228238,0.009521144925567597,9.716513708688064,0.4630061757269754,9.704599447424576,9.736595754255333,0.9967138096683562,114838,85
